Country or Area,Year,Value,
Algeria,1984,53698280328,
Algeria,1983,48801372218,
Algeria,1982,45207090661,
Algeria,1981,44348670716,
Algeria,1980,42345276290,
Algeria,1979,33243421341,
Algeria,1978,26364491684,
Algeria,1977,20971901065,
Algeria,1976,17728348385,
Algeria,1975,15557934473,
Algeria,1974,13209713766,
Algeria,1973,8715106139,
Algeria,1972,6761786485,
Algeria,1971,5077222325,
Algeria,1970,4863487558,
Algeria,1969,4257253368,
Algeria,1968,3852147121,
Algeria,1967,3370870459,
Algeria,1966,3039859262,
Algeria,1965,3136284384,
Algeria,1964,2909340110,
Algeria,1963,2703004013,
Algeria,1962,2001460831,
Algeria,1961,2434766869,
Algeria,1960,2723637615,
Andorra,2013,3249100675,
Andorra,2012,3146177741,
Andorra,2011,3427235709,
Andorra,2010,3346317329,
Andorra,2009,3649863493,
Andorra,2008,4001349340,
Andorra,2007,4010785102,
Andorra,2006,3536451646,
Andorra,2005,3248134607,
Andorra,2004,2916913449,
Andorra,2003,2373836214,
Andorra,2002,1717563533,
Andorra,2001,1484004617,
Andorra,2000,1401694156,
Andorra,1999,1239840270,
Andorra,1998,1211953954,
Andorra,1997,1180646068,
Andorra,1996,1224023416,
Andorra,1995,1178745314,
Andorra,1994,1017544675,
Andorra,1993,1007090915,
Andorra,1992,1209992650,
Andorra,1991,1106891025,
Andorra,1990,1028989394,
Andorra,1989,795489464,
Andorra,1988,721425971.8,
Andorra,1987,611300147.3,
Andorra,1986,481996191.3,
Andorra,1985,346742876.3,
Andorra,1984,330073057,
Andorra,1983,327849981.5,
Andorra,1982,375914806.5,
Andorra,1981,388982990.5,
Andorra,1980,446377571.5,
Andorra,1979,411548365.7,
Andorra,1978,308020288.9,
Andorra,1977,253998001.2,
Andorra,1976,227284061.5,
Andorra,1975,220112879.8,
Andorra,1974,186557164,
Andorra,1973,150841573.5,
Andorra,1972,113414399.2,
Andorra,1971,89406587.66,
Andorra,1970,78617622.62,
Angola,2013,1.38357E+11,
Angola,2012,1.25492E+11,
Angola,2011,1.10891E+11,
Angola,2010,83369475451,
Angola,2009,73157893410,
Angola,2008,88538611205,
Angola,2007,65266452081,
Angola,2006,52381006892,
Angola,2005,36970918699,
Angola,2004,23552047248,
Angola,2003,17812704825,
Angola,2002,15285594828,
Angola,2001,8936063723,
Angola,2000,9129634978,
Angola,1999,6152936539,
Angola,1998,6445427699,
Angola,1997,7649716157,
Angola,1996,7526963964,
Angola,1995,5060000000,
Angola,1994,3101000000,
Angola,1993,5278182971,
Angola,1992,5684291719,
Angola,1991,12118610904,
Angola,1990,10026737968,
Angola,1989,10026737968,
Angola,1988,6684491979,
Angola,1987,6684491979,
Angola,1986,6684491979,
Angola,1985,6684491979,
Antigua and Barbuda,2014,1220976011,
Antigua and Barbuda,2013,1200587519,
Antigua and Barbuda,2012,1204713111,
Antigua and Barbuda,2011,1129918370,
Antigua and Barbuda,2010,1135539037,
Antigua and Barbuda,2009,1206410370,
Antigua and Barbuda,2008,1347349852,
Antigua and Barbuda,2007,1289254333,
Antigua and Barbuda,2006,1135143593,
Antigua and Barbuda,2005,997374111.1,
Antigua and Barbuda,2004,898356148.1,
Antigua and Barbuda,2003,839996370.4,
Antigua and Barbuda,2002,802529333.3,
Antigua and Barbuda,2001,773765185.2,
Antigua and Barbuda,2000,783837851.9,
Antigua and Barbuda,1999,651851851.9,
Antigua and Barbuda,1998,620037037,
Antigua and Barbuda,1997,579851851.9,
Antigua and Barbuda,1996,541074074.1,
Antigua and Barbuda,1995,494185185.2,
Antigua and Barbuda,1994,500088888.9,
Antigua and Barbuda,1993,456537037,
Antigua and Barbuda,1992,423762963,
Antigua and Barbuda,1991,410388888.9,
Antigua and Barbuda,1990,391570363.5,
Antigua and Barbuda,1989,373403697.1,
Antigua and Barbuda,1988,338696290.3,
Antigua and Barbuda,1987,286474069,
Antigua and Barbuda,1986,245896292,
Antigua and Barbuda,1985,201862959.4,
Antigua and Barbuda,1984,173511108,
Antigua and Barbuda,1983,153270367.7,
Antigua and Barbuda,1982,137951849.4,
Antigua and Barbuda,1981,124462960.8,
Antigua and Barbuda,1980,110066664.7,
Antigua and Barbuda,1979,92240739.11,
Antigua and Barbuda,1978,74855554.23,
Antigua and Barbuda,1977,66144443.28,
Arab World,2014,2.84579E+12,
Arab World,2013,2.82756E+12,
Arab World,2012,2.754E+12,
Arab World,2011,2.49343E+12,
Arab World,2010,2.1E+12,
Arab World,2009,1.7956E+12,
Arab World,2008,2.07755E+12,
Arab World,2007,1.63868E+12,
Arab World,2006,1.39863E+12,
Arab World,2005,1.17976E+12,
Arab World,2004,9.59479E+11,
Arab World,2003,8.18121E+11,
Arab World,2002,7.24855E+11,
Arab World,2001,7.19113E+11,
Arab World,2000,7.30783E+11,
Arab World,1999,6.40059E+11,
Arab World,1998,5.87646E+11,
Arab World,1997,6.09295E+11,
Arab World,1996,5.74467E+11,
Arab World,1995,5.2005E+11,
Arab World,1994,4.84257E+11,
Arab World,1993,4.73296E+11,
Arab World,1992,4.6783E+11,
Arab World,1991,4.36805E+11,
Arab World,1990,4.43859E+11,
Arab World,1989,3.20566E+11,
Arab World,1988,3.05846E+11,
Arab World,1987,3.11271E+11,
Arab World,1986,2.87756E+11,
Arab World,1985,3.025E+11,
Arab World,1984,3.06796E+11,
Arab World,1983,3.02774E+11,
Arab World,1982,3.22911E+11,
Arab World,1981,3.46654E+11,
Arab World,1980,3.36792E+11,
Arab World,1979,2.47431E+11,
Arab World,1978,1.83382E+11,
Arab World,1977,1.65862E+11,
Arab World,1976,1.43655E+11,
Arab World,1975,1.15379E+11,
Arab World,1974,1.0434E+11,
Arab World,1973,54453506223,
Arab World,1972,42861760023,
Arab World,1971,36016831050,
Arab World,1970,31013667315,
Arab World,1969,28105241203,
Arab World,1968,25462070522,
Argentina,2014,5.3766E+11,
Argentina,2013,6.14384E+11,
Argentina,2012,6.04378E+11,
Argentina,2011,5.5789E+11,
Argentina,2010,4.6164E+11,
Argentina,2009,3.76628E+11,
Argentina,2008,4.03782E+11,
Argentina,2007,3.29318E+11,
Argentina,2006,2.62667E+11,
Argentina,2005,2.20814E+11,
Argentina,2004,1.81873E+11,
Argentina,2003,1.27586E+11,
Argentina,2002,97724513456,
Argentina,2001,2.68697E+11,
Argentina,2000,2.84204E+11,
Argentina,1999,2.83523E+11,
Argentina,1998,2.98948E+11,
Argentina,1997,2.92859E+11,
Argentina,1996,2.7215E+11,
Argentina,1995,2.58032E+11,
Argentina,1994,2.5744E+11,
Argentina,1993,2.36742E+11,
Argentina,1992,2.28789E+11,
Argentina,1991,1.8972E+11,
Argentina,1990,1.41352E+11,
Argentina,1989,76636898036,
Argentina,1988,1.26207E+11,
Argentina,1987,1.11106E+11,
Argentina,1986,1.10934E+11,
Argentina,1985,88416668900,
Argentina,1984,79092001998,
Argentina,1983,1.03979E+11,
Argentina,1982,84307486837,
Argentina,1981,78676842366,
Argentina,1980,76961923742,
Argentina,1979,69252328953,
Argentina,1978,58082870156,
Argentina,1977,56781000101,
Argentina,1976,51169499891,
Argentina,1975,52438647922,
Argentina,1974,72436777342,
Argentina,1973,52544000117,
Argentina,1972,34733000536,
Argentina,1971,33293199095,
Argentina,1970,31584210366,
Argentina,1969,31256284544,
Argentina,1968,26436857247,
Argentina,1967,24256667553,
Argentina,1966,28630474728,
Argentina,1965,28344705967,
Argentina,1964,25605249382,
Argentina,1963,18272123664,
Argentina,1962,24450604878,
Armenia,2014,11644438423,
Armenia,2013,11121465767,
Armenia,2012,10619320049,
Armenia,2011,10142111334,
Armenia,2010,9260284938,
Armenia,2009,8647936748,
Armenia,2008,11662040714,
Armenia,2007,9206301700,
Armenia,2006,6384451606,
Armenia,2005,4900469515,
Armenia,2004,3576615240,
Armenia,2003,2807061009,
Armenia,2002,2376335048,
Armenia,2001,2118467913,
Armenia,2000,1911563665,
Armenia,1999,1845482181,
Armenia,1998,1893726437,
Armenia,1997,1639492424,
Armenia,1996,1596968913,
Armenia,1995,1468317350,
Armenia,1994,1315158670,
Armenia,1993,1201313196,
Armenia,1992,1272577522,
Armenia,1991,2068526522,
Armenia,1990,2256838858,
Aruba,2011,2584463687,
Aruba,2010,2467703911,
Aruba,2009,2498932961,
Aruba,2008,2791960894,
Aruba,2007,2623726257,
Aruba,2006,2421474860,
Aruba,2005,2331005587,
Aruba,2004,2228279330,
Aruba,2003,2021301676,
Aruba,2002,1941094972,
Aruba,2001,1920262570,
Aruba,2000,1873452514,
Aruba,1999,1722798883,
Aruba,1998,1665363128,
Aruba,1997,1531843575,
Aruba,1996,1379888268,
Aruba,1995,1320670391,
Aruba,1994,1330167598,
Australia,2014,1.45468E+12,
Australia,2013,1.56395E+12,
Australia,2012,1.53748E+12,
Australia,2011,1.38992E+12,
Australia,2010,1.14225E+12,
Australia,2009,9.26564E+11,
Australia,2008,1.05456E+12,
Australia,2007,8.53053E+11,
Australia,2006,7.46881E+11,
Australia,2005,6.93075E+11,
Australia,2004,6.12695E+11,
Australia,2003,4.66348E+11,
Australia,2002,3.94196E+11,
Australia,2001,3.78459E+11,
Australia,2000,4.14952E+11,
Australia,1999,3.88672E+11,
Australia,1998,3.99294E+11,
Australia,1997,4.35571E+11,
Australia,1996,4.01335E+11,
Australia,1995,3.67949E+11,
Australia,1994,3.22805E+11,
Australia,1993,3.11951E+11,
Australia,1992,3.25253E+11,
Australia,1991,3.25575E+11,
Australia,1990,3.10955E+11,
Australia,1989,2.9948E+11,
Australia,1988,2.35771E+11,
Australia,1987,1.89077E+11,
Australia,1986,1.81989E+11,
Australia,1985,1.80183E+11,
Australia,1984,1.93198E+11,
Australia,1983,1.76899E+11,
Australia,1982,1.93651E+11,
Australia,1981,1.76527E+11,
Australia,1980,1.49655E+11,
Australia,1979,1.34585E+11,
Australia,1978,1.18218E+11,
Australia,1977,1.10097E+11,
Australia,1976,1.04815E+11,
Australia,1975,97081797078,
Australia,1974,88775239499,
Australia,1973,63688661115,
Australia,1972,51928738318,
Australia,1971,45119274275,
Australia,1970,41245380222,
Australia,1969,36606562885,
Australia,1968,32641953186,
Australia,1967,30378541830,
Australia,1966,27250531974,
Australia,1965,25925635569,
Australia,1964,23754059805,
Australia,1963,21497368126,
Australia,1962,19883525591,
Australia,1961,19639377310,
Australia,1960,18567588756,
Austria,2014,4.36888E+11,
Austria,2013,4.28699E+11,
Austria,2012,4.07373E+11,
Austria,2011,4.29011E+11,
Austria,2010,3.90235E+11,
Austria,2009,3.97594E+11,
Austria,2008,4.27612E+11,
Austria,2007,3.86459E+11,
Austria,2006,3.34309E+11,
Austria,2005,3.14649E+11,
Austria,2004,2.99857E+11,
Austria,2003,2.60721E+11,
Austria,2002,2.12971E+11,
Austria,2001,1.96954E+11,
Austria,2000,1.96422E+11,
Austria,1999,2.16725E+11,
Austria,1998,2.17684E+11,
Austria,1997,2.12323E+11,
Austria,1996,2.3672E+11,
Austria,1995,2.40458E+11,
Austria,1994,2.03045E+11,
Austria,1993,1.89921E+11,
Austria,1992,1.94608E+11,
Austria,1991,1.73376E+11,
Austria,1990,1.66062E+11,
Austria,1989,1.32785E+11,
Austria,1988,1.33018E+11,
Austria,1987,1.23869E+11,
Austria,1986,98797587382,
Austria,1985,69219621907,
Austria,1984,67821568599,
Austria,1983,71947277233,
Austria,1982,71103585384,
Austria,1981,70863106877,
Austria,1980,81861232823,
Austria,1979,73759181884,
Austria,1978,61902774946,
Austria,1977,51421585630,
Austria,1976,42856485618,
Austria,1975,39962704274,
Austria,1974,35104529078,
Austria,1973,29444365310,
Austria,1972,22006470861,
Austria,1971,17815464919,
Austria,1970,15335972268,
Austria,1969,13582798556,
Austria,1968,12440625313,
Austria,1967,11579431669,
Austria,1966,10887682273,
Austria,1965,9994070616,
Austria,1964,9169983886,
Austria,1963,8374175258,
Austria,1962,7756110210,
Austria,1961,7311749633,
Austria,1960,6592693841,
Azerbaijan,2014,75198010965,
Azerbaijan,2013,73560484385,
Azerbaijan,2012,68730906314,
Azerbaijan,2011,65951627200,
Azerbaijan,2010,52902703376,
Azerbaijan,2009,44291490421,
Azerbaijan,2008,48852482960,
Azerbaijan,2007,33050343783,
Azerbaijan,2006,20983019924,
Azerbaijan,2005,13245421881,
Azerbaijan,2004,8680511918,
Azerbaijan,2003,7275766111,
Azerbaijan,2002,6236024951,
Azerbaijan,2001,5707618247,
Azerbaijan,2000,5272617196,
Azerbaijan,1999,4581222442,
Azerbaijan,1998,4446396218,
Azerbaijan,1997,3962710163,
Azerbaijan,1996,3176749593,
Azerbaijan,1995,3052467522,
Azerbaijan,1994,3313739674,
Azerbaijan,1993,3973027397,
Azerbaijan,1992,4991350458,
Azerbaijan,1991,8792365811,
Azerbaijan,1990,8858006036,
"Bahamas, The",2014,8510500000,
"Bahamas, The",2013,8431750000,
"Bahamas, The",2012,8234470000,
"Bahamas, The",2011,7889750000,
"Bahamas, The",2010,7909580000,
"Bahamas, The",2009,7820420000,
"Bahamas, The",2008,8246650000,
"Bahamas, The",2007,8318996000,
"Bahamas, The",2006,7965588000,
"Bahamas, The",2005,7706222000,
"Bahamas, The",2004,7094413000,
"Bahamas, The",2003,6949317000,
"Bahamas, The",2002,6957996000,
"Bahamas, The",2001,6516651000,
"Bahamas, The",2000,6327552000,
"Bahamas, The",1999,6019972000,
"Bahamas, The",1998,5353524000,
"Bahamas, The",1997,4961119000,
"Bahamas, The",1996,3609000000,
"Bahamas, The",1995,3429000000,
"Bahamas, The",1994,3259000000,
"Bahamas, The",1993,3092000000,
"Bahamas, The",1992,3109000000,
"Bahamas, The",1991,3111160000,
"Bahamas, The",1990,3166000000,
"Bahamas, The",1989,3062000000,
"Bahamas, The",1988,2817900000,
"Bahamas, The",1987,2713999900,
"Bahamas, The",1986,2472500000,
"Bahamas, The",1985,2320699900,
"Bahamas, The",1984,2041100000,
"Bahamas, The",1983,1732800000,
"Bahamas, The",1982,1578300000,
"Bahamas, The",1981,1426500000,
"Bahamas, The",1980,1335300000,
"Bahamas, The",1979,1139800100,
"Bahamas, The",1978,832400000,
"Bahamas, The",1977,713000000,
"Bahamas, The",1976,642100000,
"Bahamas, The",1975,596200000,
"Bahamas, The",1974,632400000,
"Bahamas, The",1973,670900000,
"Bahamas, The",1972,590900000,
"Bahamas, The",1971,573400000,
"Bahamas, The",1970,538423167.5,
"Bahamas, The",1969,528137264.8,
"Bahamas, The",1968,444901969.1,
"Bahamas, The",1967,390196085.7,
"Bahamas, The",1966,340000006.4,
"Bahamas, The",1965,300392162.5,
"Bahamas, The",1964,266664053.7,
"Bahamas, The",1963,237742768.5,
"Bahamas, The",1962,212252822.2,
"Bahamas, The",1961,190096176.6,
"Bahamas, The",1960,169802257.8,
Bahrain,2014,33851063830,
Bahrain,2013,32897606383,
Bahrain,2012,30756462766,
Bahrain,2011,29044069149,
Bahrain,2010,25713271277,
Bahrain,2009,22938218085,
Bahrain,2008,25710877660,
Bahrain,2007,21730000000,
Bahrain,2006,18505053191,
Bahrain,2005,15968726862,
Bahrain,2004,13150166755,
Bahrain,2003,11074822074,
Bahrain,2002,9632155053,
Bahrain,2001,8976207713,
Bahrain,2000,9062906915,
Bahrain,1999,6621010372,
Bahrain,1998,6183776596,
Bahrain,1997,6349202394,
Bahrain,1996,6101861436,
Bahrain,1995,5849467819,
Bahrain,1994,5567553457,
Bahrain,1993,5200265957,
Bahrain,1992,4751063830,
Bahrain,1991,4616223404,
Bahrain,1990,4229787379,
Bahrain,1989,3863563962,
Bahrain,1988,3702393744,
Bahrain,1987,3392021127,
Bahrain,1986,3052393722,
Bahrain,1985,3651861827,
Bahrain,1984,3905585240,
Bahrain,1983,3735106511,
Bahrain,1982,3645744806,
Bahrain,1981,3467819268,
Bahrain,1980,3072698431,
Bangladesh,2014,1.72887E+11,
Bangladesh,2013,1.4999E+11,
Bangladesh,2012,1.33356E+11,
Bangladesh,2011,1.28638E+11,
Bangladesh,2010,1.15279E+11,
Bangladesh,2009,1.02478E+11,
Bangladesh,2008,91631278239,
Bangladesh,2007,79611888213,
Bangladesh,2006,71819083684,
Bangladesh,2005,69442943089,
Bangladesh,2004,65108544250,
Bangladesh,2003,60158929188,
Bangladesh,2002,54724081491,
Bangladesh,2001,53991289844,
Bangladesh,2000,53369787319,
Bangladesh,1999,51270569884,
Bangladesh,1998,49984559471,
Bangladesh,1997,48244308275,
Bangladesh,1996,46438482370,
Bangladesh,1995,37939748052,
Bangladesh,1994,33768662171,
Bangladesh,1993,33166520084,
Bangladesh,1992,31708873954,
Bangladesh,1991,30957483290,
Bangladesh,1990,31598341233,
Bangladesh,1989,28781714764,
Bangladesh,1988,26579005760,
Bangladesh,1987,24298032258,
Bangladesh,1986,21774033333,
Bangladesh,1985,22278423077,
Bangladesh,1984,18920840000,
Bangladesh,1983,17609048822,
Bangladesh,1982,18525399202,
Bangladesh,1981,20249694002,
Bangladesh,1980,18138049096,
Bangladesh,1979,15565480322,
Bangladesh,1978,13281767143,
Bangladesh,1977,9651149302,
Bangladesh,1976,10117113333,
Bangladesh,1975,19448348073,
Bangladesh,1974,12512460520,
Bangladesh,1973,8086725729,
Bangladesh,1972,6288245867,
Bangladesh,1971,8751842840,
Bangladesh,1970,8992721809,
Bangladesh,1969,8471006101,
Bangladesh,1968,7483685473,
Bangladesh,1967,7253575399,
Bangladesh,1966,6439687598,
Bangladesh,1965,5906636557,
Bangladesh,1964,5386054619,
Bangladesh,1963,5319458351,
Bangladesh,1962,5081413340,
Bangladesh,1961,4817580184,
Bangladesh,1960,4274893913,
Barbados,2014,4354500000,
Barbados,2013,4281000000,
Barbados,2012,4313000000,
Barbados,2011,4358000000,
Barbados,2010,4445500000,
Barbados,2009,4602000000,
Barbados,2008,4595000000,
Barbados,2007,4546000000,
Barbados,2006,4303500000,
Barbados,2005,3897500000,
Barbados,2004,3514500000,
Barbados,2003,3275000000,
Barbados,2002,3169500000,
Barbados,2001,3116500000,
Barbados,2000,3121500000,
Barbados,1999,3011982170,
Barbados,1998,2874260304,
Barbados,1997,2549097488,
Barbados,1996,2411872814,
Barbados,1995,2262218368,
Barbados,1994,2151344808,
Barbados,1993,2063342028,
Barbados,1992,1957000000,
Barbados,1991,2020583615,
Barbados,1990,2012131370,
Barbados,1989,2006165080,
Barbados,1988,1812757839,
Barbados,1987,1704370234,
Barbados,1986,1547755116,
Barbados,1985,1409536060,
Barbados,1984,1346890013,
Barbados,1983,1236016453,
Barbados,1982,1163923780,
Barbados,1981,1114204695,
Barbados,1980,1012280571,
Belarus,2014,76139250365,
Belarus,2013,73097619637,
Belarus,2012,63615445567,
Belarus,2011,59734593905,
Belarus,2010,55220932614,
Belarus,2009,49208656976,
Belarus,2008,60752177439,
Belarus,2007,45275747861,
Belarus,2006,36961821894,
Belarus,2005,30210091837,
Belarus,2004,23141587718,
Belarus,2003,17825436035,
Belarus,2002,14594925393,
Belarus,2001,12354820144,
Belarus,2000,12736856485,
Belarus,1999,12138485329,
Belarus,1998,15222014828,
Belarus,1997,14128412417,
Belarus,1996,14756861538,
Belarus,1995,13972637603,
Belarus,1994,14931599418,
Belarus,1993,16280372553,
Belarus,1992,17022180272,
Belarus,1991,17813389815,
Belarus,1990,17369598958,
Belgium,2014,5.31547E+11,
Belgium,2013,5.21402E+11,
Belgium,2012,4.9778E+11,
Belgium,2011,5.26975E+11,
Belgium,2010,4.83577E+11,
Belgium,2009,4.84553E+11,
Belgium,2008,5.18626E+11,
Belgium,2007,4.71822E+11,
Belgium,2006,4.09813E+11,
Belgium,2005,3.87366E+11,
Belgium,2004,3.70885E+11,
Belgium,2003,3.19003E+11,
Belgium,2002,2.5886E+11,
Belgium,2001,2.37842E+11,
Belgium,2000,2.37905E+11,
Belgium,1999,2.60202E+11,
Belgium,1998,2.60602E+11,
Belgium,1997,2.54814E+11,
Belgium,1996,2.81358E+11,
Belgium,1995,2.89568E+11,
Belgium,1994,2.46195E+11,
Belgium,1993,2.25925E+11,
Belgium,1992,2.36039E+11,
Belgium,1991,2.11638E+11,
Belgium,1990,2.06431E+11,
Belgium,1989,1.651E+11,
Belgium,1988,1.63168E+11,
Belgium,1987,1.50194E+11,
Belgium,1986,1.20661E+11,
Belgium,1985,86730120728,
Belgium,1984,83795759983,
Belgium,1983,87650998817,
Belgium,1982,92588982518,
Belgium,1981,1.05291E+11,
Belgium,1980,1.27508E+11,
Belgium,1979,1.16938E+11,
Belgium,1978,1.01789E+11,
Belgium,1977,83283407091,
Belgium,1976,71494607106,
Belgium,1975,66029811341,
Belgium,1974,56333063691,
Belgium,1973,47999408508,
Belgium,1972,37408626615,
Belgium,1971,29981318395,
Belgium,1970,26849173618,
Belgium,1969,23710735895,
Belgium,1968,21376353113,
Belgium,1967,19992040788,
Belgium,1966,18651883472,
Belgium,1965,17371457608,
Belgium,1964,15960106681,
Belgium,1963,14260017387,
Belgium,1962,13264015675,
Belgium,1961,12400145222,
Belgium,1960,11658722591,
Belize,2014,1699154132,
Belize,2013,1624294250,
Belize,2012,1573867300,
Belize,2011,1487005600,
Belize,2010,1397113450,
Belize,2009,1336957250,
Belize,2008,1368625150,
Belize,2007,1290542550,
Belize,2006,1217442150,
Belize,2005,1114202700,
Belize,2004,1057850000,
Belize,2003,990350000,
Belize,2002,932551870.5,
Belize,2001,871860610.9,
Belize,2000,832072464.7,
Belize,1999,732732353.2,
Belize,1998,688992457.6,
Belize,1997,654314354.2,
Belize,1996,641383824.7,
Belize,1995,620140386.2,
Belize,1994,580863704.7,
Belize,1993,559858238.4,
Belize,1992,518239092.1,
Belize,1991,444720750,
Belize,1990,413050000,
Belize,1989,363150000,
Belize,1988,314900000,
Belize,1987,276550000,
Belize,1986,227850000,
Belize,1985,209150000,
Belize,1984,210900000,
Belize,1983,189000000,
Belize,1982,179250000,
Belize,1981,192900000,
Belize,1980,194750000,
Belize,1979,151800000,
Belize,1978,136300000,
Belize,1977,117650000,
Belize,1976,96905828.77,
Belize,1975,118066302.1,
Belize,1974,103216372,
Belize,1973,78343558.51,
Belize,1972,66062499.02,
Belize,1971,59207317.59,
Belize,1970,53233534.3,
Belize,1969,47305390.44,
Belize,1968,44910180.79,
Belize,1967,47379308.79,
Belize,1966,44405596.03,
Belize,1965,40069931.54,
Belize,1964,36194588.4,
Belize,1963,33750115.81,
Belize,1962,31857593.8,
Belize,1961,29965001.79,
Belize,1960,28072479.78,
Benin,2014,9575356735,
Benin,2013,9110800745,
Benin,2012,8117100934,
Benin,2011,7814081156,
Benin,2010,6970240895,
Benin,2009,7097198712,
Benin,2008,7132787397,
Benin,2007,5969535132,
Benin,2006,5142380779,
Benin,2005,4803702821,
Benin,2004,4521424807,
Benin,2003,3905366188,
Benin,2002,3054571082,
Benin,2001,2680213931,
Benin,2000,2569186643,
Benin,1999,2689787918,
Benin,1998,2455092582,
Benin,1997,2268301538,
Benin,1996,2361116588,
Benin,1995,2169627251,
Benin,1994,1598075932,
Benin,1993,2274557914,
Benin,1992,1695315306,
Benin,1991,1986437860,
Benin,1990,1959965330,
Benin,1989,1502294414,
Benin,1988,1620246085,
Benin,1987,1562412226,
Benin,1986,1336102027,
Benin,1985,1045712790,
Benin,1984,1051134009,
Benin,1983,1095348199,
Benin,1982,1267778672,
Benin,1981,1291120191,
Benin,1980,1405251844,
Benin,1979,1186231018,
Benin,1978,928843468.5,
Benin,1977,750049780.2,
Benin,1976,698408261.1,
Benin,1975,676870139.3,
Benin,1974,554654861.5,
Benin,1973,504376074.1,
Benin,1972,410331856.2,
Benin,1971,335073027.9,
Benin,1970,333627713.5,
Benin,1969,330748244.1,
Benin,1968,326323105.6,
Benin,1967,306221953.4,
Benin,1966,302925235.7,
Benin,1965,289908680.2,
Benin,1964,269819005.8,
Benin,1963,253927697.6,
Benin,1962,236434954.3,
Benin,1961,235668220.9,
Benin,1960,226195578.1,
Bermuda,2013,5573710000,
Bermuda,2012,5537537000,
Bermuda,2011,5550771000,
Bermuda,2010,5744414000,
Bermuda,2009,5806378000,
Bermuda,2008,6109928000,
Bermuda,2007,5895048000,
Bermuda,2006,5414299000,
Bermuda,2005,4868136000,
Bermuda,2004,4484703000,
Bermuda,2003,4186525000,
Bermuda,2002,3937228000,
Bermuda,2001,3680483000,
Bermuda,2000,3480219000,
Bermuda,1999,3324433000,
Bermuda,1998,3130748000,
Bermuda,1997,2932827000,
Bermuda,1996,2695390000,
Bermuda,1995,2030749952,
Bermuda,1994,1867160064,
Bermuda,1993,1820359936,
Bermuda,1992,1679900032,
Bermuda,1991,1634899968,
Bermuda,1990,1592400000,
Bermuda,1989,1501500032,
Bermuda,1988,1415100032,
Bermuda,1987,1296499968,
Bermuda,1986,1173500032,
Bermuda,1985,1039500032,
Bermuda,1984,985699968,
Bermuda,1983,889400000,
Bermuda,1982,785500032,
Bermuda,1981,739100032,
Bermuda,1980,613299968,
Bermuda,1979,517200000,
Bermuda,1978,475800000,
Bermuda,1977,447000000,
